"","Var1","Freq"
"1","PAN",4
"2","PC do B",1
"3","PCB",3
"4","PCO",15
"5","PDT",11
"6","PFL",7
"7","PHS",3
"8","PL",1
"9","PMDB",16
"10","PMN",2
"11","PP",3
"12","PPS",5
"13","PRB",1
"14","PRONA",6
"15","PRP",6
"16","PRTB",2
"17","PSB",10
"18","PSC",3
"19","PSDB",17
"20","PSDC",25
"21","PSL",10
"22","PSOL",24
"23","PSTU",6
"24","PT",18
"25","PT do B",1
"26","PTB",1
"27","PTC",3
"28","PTN",2
"29","PV",4
