"","Var1","Freq"
"1","DEM",2
"2","PC do B",1
"3","PCB",14
"4","PCO",5
"5","PDT",3
"6","PEN",1
"7","PHS",3
"8","PMDB",18
"9","PMN",2
"10","PP",4
"11","PPL",4
"12","PPS",2
"13","PR",3
"14","PRB",1
"15","PROS",3
"16","PRP",2
"17","PRTB",6
"18","PSB",11
"19","PSC",2
"20","PSD",4
"21","PSDB",12
"22","PSDC",2
"23","PSL",1
"24","PSOL",27
"25","PSTU",12
"26","PT",17
"27","PT do B",1
"28","PTB",1
"29","PTC",2
"30","PTN",2
"31","PV",2
"32","SD",1
