"","Var1","Freq"
"1","PCO",1
"2","PDT",6
"3","PFL",12
"4","PMDB",19
"5","PMN",4
"6","PPB",5
"7","PPS",2
"8","PRN",4
"9","PRONA",11
"10","PRP",2
"11","PRTB",4
"12","PSB",7
"13","PSC",5
"14","PSD",1
"15","PSDB",14
"16","PSDC",3
"17","PSL",3
"18","PSN",4
"19","PST",2
"20","PSTU",18
"21","PT",16
"22","PT do B",1
"23","PTB",2
"24","PV",5
