"","Var1","Freq"
"1","PC do B",24
"2","PCB",2
"3","PDT",30
"4","PFL",27
"5","PL",20
"6","PMDB",35
"7","PMN",20
"8","PP",26
"9","PPR",29
"10","PPS",23
"11","PRN",11
"12","PRONA",7
"13","PRP",10
"14","PSB",26
"15","PSC",12
"16","PSD",16
"17","PSDB",30
"18","PSTU",15
"19","PT",32
"20","PT do B",1
"21","PTB",21
"22","PTRB",1
"23","PV",21
