"","Var1","Freq"
"1","DEM",4
"2","PC do B",1
"3","PCB",17
"4","PCO",7
"5","PDT",4
"6","PHS",1
"7","PMDB",13
"8","PMN",4
"9","PP",4
"10","PPS",2
"11","PR",4
"12","PRP",1
"13","PRTB",8
"14","PSB",9
"15","PSC",1
"16","PSDB",16
"17","PSDC",1
"18","PSL",2
"19","PSOL",25
"20","PSTU",18
"21","PT",10
"22","PT do B",1
"23","PTB",3
"24","PTC",2
"25","PV",11
