"","Var1","Freq"
"1","PAN",5
"2","PCO",10
"3","PDT",10
"4","PFL",9
"5","PGT",9
"6","PL",1
"7","PMDB",16
"8","PPB",6
"9","PPS",9
"10","PRONA",5
"11","PRP",1
"12","PRTB",7
"13","PSB",24
"14","PSC",3
"15","PSD",2
"16","PSDB",14
"17","PSDC",2
"18","PSL",4
"19","PST",1
"20","PSTU",21
"21","PT",24
"22","PTB",9
"23","PTC",7
"24","PTN",4
"25","PV",4
